source.level,source.timestamp,source.request_id,source.method,source.path,source.ip_hash,source.tier,source.decision,source.status_code,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.startTime,$metadata.endTime,$metadata.now,links
info,2026-03-23T14:41:39.024Z,240d3f96-2194-427c-bdc1-7e6d19b82926,GET,/api/auth/session,517a90640cea25a5c50091094e93bc111148d30842b43d455f267d24c38e25f7,tier3,allow,200,cloudflare-workers,2026-03-23T14:41:39.024Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46731190-c41b-49b8-b208-5b5d7413f556,9e0e32ad8d1e5161,01KMDJ9W6G7X4KPYC4YJM630PS,240d3f96-2194-427c-bdc1-7e6d19b82926,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T14:41:37.277Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46731190-c41b-49b8-b208-5b5d7413f556,9e0e32ad8d1e5161,01KMDJ9TFX28Q8WZBQT432A8H7,9e0e32ad8d1e5161,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T10:49:57.413Z,false,https://api.internal/api,POST,/api,ok,utter-api-staging,fetch,stateless,46731190-c41b-49b8-b208-5b5d7413f556,9e0cdf55c988cdd2,01KMD51MD5DAA42GFH992NC2M4,9e0cdf55c988cdd2,POST /api,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T10:44:29.688Z,false,https://api.internal/api,POST,/api,ok,utter-api-staging,fetch,stateless,46731190-c41b-49b8-b208-5b5d7413f556,9e0cd7558c6fdd59,01KMD4QMBR1RCD24JRP15AXFFC,9e0cd7558c6fdd59,POST /api,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,2026-03-23T05:13:31.764Z,b35b8223-0804-4152-a429-c70587c8341d,GET,/api/auth/session,a82a7c7d81a3391ccc6706b27b0ab03123bfbe40273e94d512df7b30149a65f4,tier3,allow,200,cloudflare-workers,2026-03-23T05:13:31.764Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0af280b9ae527e,01KMCHSKVMVPR5B33FWMPM5SFF,b35b8223-0804-4152-a429-c70587c8341d,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T05:13:31.013Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0af280b9ae527e,01KMCHSK456FCH2ENMY680NRQF,9e0af280b9ae527e,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,2026-03-23T05:10:29.789Z,c6646ec0-ce2e-42f0-8b8a-54aee8570f88,GET,/api/auth/session,a82a7c7d81a3391ccc6706b27b0ab03123bfbe40273e94d512df7b30149a65f4,tier3,allow,200,cloudflare-workers,2026-03-23T05:10:29.789Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0aee0b5f9e45e2,01KMCHM24X4BV0YXD25JXGNN6B,c6646ec0-ce2e-42f0-8b8a-54aee8570f88,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T05:10:28.412Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0aee0b5f9e45e2,01KMCHM15JDPHMB4NQVZ5FWDSE,9e0aee0b5f9e45e2,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,2026-03-23T04:35:33.442Z,ff4c42d3-54e8-47aa-b438-b0a98a361916,GET,/api/auth/session,ed5e10195b5833e79c74451114e6c0a52f6fa2dc74418c59d3c4b59d68f78142,tier3,allow,200,cloudflare-workers,2026-03-23T04:35:33.442Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0abada7f987da7,01KMCFM2Y2TNATXTXF10YN16WX,ff4c42d3-54e8-47aa-b438-b0a98a361916,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
info,,,,,,,,,cloudflare-workers,2026-03-23T04:35:31.622Z,false,https://api.internal/api/auth/session,GET,/api/auth/session,ok,utter-api-staging,fetch,stateless,46bfb2c7-32d7-491e-afe1-968e869cc272,9e0abada7f987da7,01KMCFM156QBWXQBTZTY9BCAKP,9e0abada7f987da7,GET /api/auth/session,utter-api-staging,info,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,undefined,undefined,undefined,[]
